Call-Data-Record-ID	Service-Type	Timestamp	Duration	MSISDN-A	MSISDN-B	TXBytes
86	V	07.02.2016 19:06	42	4917100000013	4917100000318	
87	V	27.06.2016 17:49	459	4917100000233	4917100000144	
88	D	09.04.2016 11:38	3506	4917100000032		316682956
89	V	07.05.2016 14:37	42	4917100000085	4917100000250	
90	V	25.05.2016 07:43	3616	4917100000172	499311238	
91	D	28.05.2016 07:02	46	4917100000384		175260
92	V	12.05.2016 22:24	15	4917100000041	4917100000157	
93	V	13.06.2016 10:00	93	4917100000054	491601111189	
94	D	12.05.2016 01:28	20	4917100000112		1611420
95	S	10.06.2016 21:35		4917100000269	4917100000180	
96	S	13.06.2016 06:47		4917100000203	4917100000308	
97	S	10.06.2016 10:40		4917100000051	4917100000042	
98	S	08.06.2016 02:36		4917100000031	4917100000352	
99	D	27.04.2016 04:12	844	4917100000301		20499072
100	D	09.04.2016 12:05	12	4917100000154		202800
101	D	26.05.2016 09:57	543	4917100000066		47601552
102	V	15.06.2016 13:33	943	4917100000117	499311230	
103	V	27.05.2016 01:04	306	4917100000300	4917100000130	
104	V	24.06.2016 02:39	2747	4917100000339	4917100000186	
105	D	14.04.2016 07:17	12	4917100000157		731640
106	V	13.05.2016 20:14	2582	4917100000008	4917100000319	
107	S	23.03.2016 10:43		4917100000035	4917100000225	
108	S	12.06.2016 16:54		4917100000007	4917100000358	
109	S	17.05.2016 19:21		4917100000267	4917100000264	
110	S	17.06.2016 23:51		4917100000379	4917100000058	
111	V	16.06.2016 13:58	309	4917100000235	499311222	
112	V	13.05.2016 08:55	115	4917100000304	499311119	
113	D	27.04.2016 18:49	1196	4917100000177		100185332
114	D	21.06.2016 01:29	2901	4917100000206		191158494
115	S	20.04.2016 18:18		4917100000130	4917100000070	
116	S	16.05.2016 08:00		4917100000094	4917100000303	
117	S	09.06.2016 21:12		4917100000058	4917100000258	
118	D	19.06.2016 01:41	2802	4917100000098		88814994
119	S	08.06.2016 11:00		4917100000236	4917100000023	
120	V	16.04.2016 15:59	79	4917100000134	499311143	
121	D	07.05.2016 07:49	62	4917100000213		4126348
122	D	20.05.2016 00:07	100	4917100000173		935200
123	S	24.05.2016 09:16		4917100000029	4917100000302	
124	S	06.05.2016 11:17		4917100000063	4917100000077	
125	S	03.04.2016 16:12		4917100000097	4917100000325	
126	D	22.05.2016 04:03	23	4917100000015		1812745
127	D	18.06.2016 17:39	41	4917100000007		3323132
128	V	19.05.2016 23:58	113	4917100000202	499311208	
129	D	08.04.2016 10:43	76	4917100000150		898928
130	S	24.06.2016 01:50		4917100000006	4917100000263	
131	V	17.06.2016 13:19	1658	4917100000179	4917100000001	
132	S	12.05.2016 21:04		4917100000345	4917100000175	
133	D	23.06.2016 11:04	987	4917100000303		76918884
134	V	27.06.2016 01:05	75	4917100000257	4917100000158	
135	S	02.06.2016 12:40		4917100000241	4917100000335	
136	S	16.04.2016 22:06		4917100000296	4917100000289	
137	S	27.06.2016 16:27		4917100000055	4917100000272	
138	D	05.05.2016 13:41	65	4917100000275		4090515
139	D	08.05.2016 07:47	2505	4917100000280		64355955
140	D	28.05.2016 07:59	10	4917099999999		287860
141	S	02.06.2016 18:38		4917100000110	4917100000303	
142	V	24.04.2016 10:28	104	4917100000344	4917100000353	
143	V	06.06.2016 06:53	345	4917100000353	4917100000061	
144	S	27.03.2016 10:50		4917100000145	4917100000158	
145	S	12.04.2016 11:13		4917100000000	4917100000173	
146	D	23.05.2016 04:50	204	4917100000261		1853340
147	V	01.06.2016 18:17	597	4917100000254	499311178	
148	V	20.05.2016 10:10	124	4917100000015	499311194	
149	D	09.05.2016 01:54	1240	4917100000078		93851880
150	D	21.06.2016 08:13	117	4917100000133		10366902
151	V	22.04.2016 06:51	45	4917100000043	491601111197	
152	S	14.04.2016 14:25		4917100000328	4917100000141	
153	D	25.06.2016 23:32	31	4917100000372		1633886
154	D	01.06.2016 12:23	234	4917100000162		13128102
155	S	16.05.2016 13:37		4917100000294	4917100000261	
156	S	16.06.2016 02:06		4917100000068	4917100000319	
157	V	10.04.2016 17:47	87	4917100000350	499311197	
158	S	13.06.2016 19:18		4917100000306	4917100000300	
159	D	06.06.2016 13:59	49	4917100000366		1213975
160	V	09.05.2016 16:01	44	4917100000061	499311240	
161	V	12.05.2016 20:02	492	4917100000368	499311184	
162	D	07.06.2016 10:16	3462	4917099999995		40134966
163	D	18.06.2016 19:40	56	4917100000136		3204320
164	D	23.05.2016 10:58	2736	4917100000000		72367200
165	S	02.06.2016 16:15		4917100000170	4917100000123	
166	S	18.06.2016 06:31		4917100000215	4917100000132	
167	V	26.03.2016 02:02	168	4917100000081	491601111142	
168	S	09.04.2016 13:22		4917100000040	4917100000173	
169	V	09.05.2016 16:03	3484	4917100000156	4917100000193	
170	V	06.06.2016 05:15	3704	4917100000254	4917100000255	
171	D	13.06.2016 15:59	80	4917100000031		662960
172	D	03.06.2016 15:13	3660	4917100000380		157032300
173	D	27.06.2016 07:56	294	4917100000186		29209782
174	S	12.06.2016 16:06		4917100000113	4917100000256	
175	S	03.05.2016 06:53		4917100000280	4917100000220	
176	S	15.04.2016 20:06		4917100000032	4917100000284	
177	V	27.06.2016 17:46	2087	4917100000267	4917100000248	
178	S	27.04.2016 19:30		4917100000216	4917100000322	
179	V	02.06.2016 19:25	58	4917100000059	499311130	
180	V	29.05.2016 23:22	654	4917100000211	4917100000288	
181	S	11.06.2016 07:16		4917100000012	4917100000122	
182	V	21.06.2016 03:24	357	4917100000077	491601111118	
183	S	27.06.2016 10:37		4917100000289	4917100000188	
184	V	02.06.2016 07:26	53	4917100000084	4917100000012	
185	S	24.06.2016 17:12		4917100000175	4917100000297	
186	S	18.06.2016 16:06		4917100000044	4917100000306	
187	S	11.06.2016 07:24		4917100000161	4917100000064	
188	S	12.05.2016 21:37		4917100000013	4917100000234	
189	V	05.02.2016 02:41	1273	4917100000076	4917100000200	
190	D	29.05.2016 12:18	3429	4917100000277		176360328
191	S	13.04.2016 12:45		4917100000078	4917100000046	
192	S	15.06.2016 01:34		4917100000125	4917100000061	
193	V	13.05.2016 22:18	2549	4917100000107	4917100000277	
194	V	01.06.2016 15:48	855	4917100000162	4917100000175	
195	S	20.06.2016 22:50		4917100000338	4917100000086	
196	S	17.06.2016 00:30		4917100000245	4917100000230	
197	D	21.06.2016 19:24	39	4917100000034		1739049
198	V	10.06.2016 17:23	2153	4917100000117	168731112	
199	D	02.06.2016 03:42	114	4917100000194		9514782
200	S	13.05.2016 23:52		4917100000262	4917100000051	
201	S	12.04.2016 02:38		4917100000264	4917100000364	
202	S	09.06.2016 01:35		4917100000356	4917100000081	
203	S	18.04.2016 19:42		4917100000209	4917100000310	
204	V	15.04.2016 23:46	555	4917100000003	4917100000143	
205	S	24.06.2016 09:00		4917100000250	4917100000247	
206	S	10.04.2016 04:12		4917100000108	4917100000316	
207	S	21.06.2016 19:56		4917100000362	4917100000193	
208	D	08.06.2016 14:23	14	4917100000058		1353926
209	S	26.06.2016 07:35		4917100000221	4917100000044	
210	V	12.06.2016 21:53	13	4917100000314	499311160	
211	D	11.05.2016 19:12	910	4917100000032		30717960
212	S	28.06.2016 09:25		4917100000071	4917100000163	
213	V	29.05.2016 05:18	18	4917100000211	499311134	
214	D	13.06.2016 03:05	1372	4917100000068		7137144
215	D	27.05.2016 14:42	2494	4917100000178		152794910
216	D	27.06.2016 03:13	2967	4917100000051		230755458
217	S	06.06.2016 12:33		4917100000003	4917100000185	
218	D	13.04.2016 17:02	998	4917100000258		13366214
219	V	14.04.2016 11:41	1394	4917100000035	491601111130	
220	S	20.06.2016 09:25		4917100000378	4917100000043	
221	S	15.06.2016 20:10		4917100000384	4917100000313	
222	S	19.06.2016 17:24		4917100000196	4917100000259	
223	S	18.04.2016 00:59		4917100000345	4917100000202	
224	S	20.06.2016 00:16		4917100000159	4917100000261	
225	D	08.05.2016 06:17	3143	4917100000071		35619619
226	V	21.05.2016 09:25	56	4917100000313	4917100000169	
227	S	14.06.2016 10:10		4917100000054	4917100000110	
228	S	23.05.2016 04:43		4917100000039	4917100000163	
229	S	09.06.2016 04:00		4917100000222	4917100000100	
230	D	04.04.2016 03:52	1460	4917100000264		104990060
231	V	03.05.2016 18:23	453	4917100000113	4917100000115	
232	D	24.03.2016 07:50	3649	4917100000071		279652062
233	D	21.06.2016 11:26	117	4917100000012		3563352
234	D	21.06.2016 19:43	495	4917099999999		9860895
235	S	26.06.2016 21:06		4917100000241	4917100000328	
236	D	24.05.2016 14:11	14	4917100000006		89250
237	V	29.06.2016 18:30	2989	4917099999995	4917100000180	
238	D	22.05.2016 22:01	114	4917100000246		7884126
239	V	20.06.2016 08:12	2175	4917100000031	4917100000005	
240	S	03.04.2016 01:40		4917100000284	4917100000331	
241	S	18.04.2016 18:22		4917100000374	4917100000003	
242	S	29.04.2016 01:42		4917100000127	4917100000218	
243	V	16.06.2016 14:26	3	4917100000012	4917100000126	
244	S	21.05.2016 00:49		4917100000232	4917100000218	
245	S	23.04.2016 20:00		4917100000230	4917100000346	
246	D	16.06.2016 15:03	1867	4917100000299		141294560
247	V	26.06.2016 02:55	31	4917100000036	499311266	
248	D	10.06.2016 05:43	50	4917100000328		4682900
249	V	20.05.2016 05:40	31	4917100000073	4917100000211	
250	D	26.04.2016 12:50	14	4917100000287		847098
251	S	26.04.2016 16:52		4917100000140	4917100000072	
252	S	27.06.2016 18:45		4917100000254	4917100000035	
253	D	19.05.2016 20:30	3627	4917100000326		60759504
254	D	24.05.2016 19:32	3088	4917100000279		279368272
255	V	07.06.2016 18:19	92	4917100000284	4917100000279	
256	S	04.03.2016 08:35		4917100000127	4917100000236	
257	S	25.06.2016 08:25		4917100000133	4917100000188	
258	V	24.06.2016 12:19	13	4917100000033	4917100000295	
259	V	04.03.2016 21:19	15	4917100000078	499311281	
260	V	11.06.2016 14:39	33	4917100000387	4917100000276	
261	D	20.05.2016 09:00	118	4917100000158		4467952
262	V	20.04.2016 17:17	333	4917100000007	4917100000110	
263	S	16.05.2016 05:03		4917100000240	4917100000333	
264	D	24.05.2016 19:41	240	4917100000032		19290240
265	V	28.04.2016 02:41	1614	4917100000255	491601111138	
266	V	04.05.2016 16:36	47	4917100000386	4917100000206	
267	S	08.04.2016 12:58		4917100000106	4917100000134	
268	D	27.05.2016 16:49	107	4917100000177		3851358
269	V	18.06.2016 09:50	2	4917100000367	4917099999992	
270	S	24.03.2016 14:10		4917100000294	4917100000158	
271	D	10.06.2016 23:19	85	4917100000178		7874825
272	S	22.06.2016 21:44		4917100000072	4917100000111	
273	V	01.06.2016 14:37	510	4917100000349	499311229	
274	D	06.06.2016 22:55	64	4917100000256		5700800
275	S	23.05.2016 22:03		4917100000235	4917100000152	
276	S	15.06.2016 00:44		4917100000339	4917100000057	
277	V	04.04.2016 21:13	28	4917100000331	499311308	
278	S	16.06.2016 03:23		4917100000121	4917100000360	
279	S	29.03.2016 03:56		4917100000383	4917100000182	
280	S	17.05.2016 11:08		4917100000209	4917100000247	
281	V	11.06.2016 22:38	537	4917100000208	491601111156	
282	S	21.06.2016 13:43		4917100000166	4917100000291	
283	V	24.06.2016 13:56	633	4917100000338	499311117	
284	S	02.06.2016 17:50		4917100000360	4917100000177	
285	S	15.02.2016 04:00		4917100000161	4917100000031	
286	V	28.06.2016 02:51	561	4917100000315	491601111126	
287	V	06.06.2016 10:38	3033	4917100000356	4917100000320	
288	V	01.06.2016 04:39	125	4917100000025	4917100000220	
289	D	07.04.2016 07:25	3330	4917100000274		126470070
290	V	23.06.2016 05:08	2219	4917100000046	4917100000104	
291	S	16.06.2016 02:27		4917100000036	4917100000100	
292	S	01.06.2016 08:59		4917100000375	4917100000067	
293	D	19.05.2016 08:33	20	4917100000329		1913800
294	S	22.04.2016 20:38		4917100000122	4917100000175	
295	V	15.04.2016 04:30	26	4917100000350	4917100000043	
296	D	12.06.2016 01:27	606	4917100000226		23683692
297	S	01.06.2016 14:05		4917100000020	4917100000111	
298	D	17.04.2016 23:15	3418	4917100000318		71654952
299	V	28.06.2016 22:03	103	4917100000030	499311233	
300	S	21.06.2016 13:27		4917100000328	4917100000152	
301	V	02.06.2016 16:03	46	4917100000247	4917100000187	
302	S	29.03.2016 06:55		4917100000185	4917100000011	
303	V	20.06.2016 02:05	1372	4917100000121	4917100000162	
304	S	20.05.2016 06:47		4917100000149	4917099999994	
305	V	07.05.2016 09:12	501	4917100000240	491601111167	
306	S	13.06.2016 18:26		4917100000162	4917099999994	
307	V	01.02.2016 05:24	396	4917100000333	4917100000050	
308	V	04.06.2016 21:11	59	4917100000068	4917100000037	
309	S	08.04.2016 01:22		4917100000312	4917100000233	
310	S	15.06.2016 05:49		4917100000065	4917100000222	
311	S	17.06.2016 01:09		4917100000200	4917100000225	
312	S	21.06.2016 12:42		4917100000020	4917100000220	
313	D	04.04.2016 02:27	943	4917100000265		46324875
314	V	06.06.2016 15:59	99	4917100000081	499311200	
315	D	04.06.2016 01:18	1504	4917100000046		55019328
316	D	22.06.2016 08:52	447	4917100000109		8744661
317	S	11.06.2016 09:20		4917100000056	4917100000007	
318	S	10.06.2016 22:34		4917100000061	4917099999998	
319	D	19.05.2016 05:30	20	4917100000261		1645520
320	V	07.05.2016 20:32	123	4917100000086	4917100000048	
321	S	11.05.2016 12:10		4917100000010	4917100000209	
322	D	23.03.2016 18:13	3451	4917100000128		243029773
323	V	16.05.2016 22:15	99	4917100000115	491601111159	
324	V	29.03.2016 23:57	64	4917100000014	499311147	
325	D	09.04.2016 05:14	438	4917100000168		16693932
326	V	01.06.2016 10:29	31	4917100000274	499311202	
327	D	01.06.2016 11:15	1031	4917100000123		43775229
328	V	08.05.2016 23:19	372	4917100000240	4917100000330	
329	V	23.06.2016 09:20	177	4917100000329	4917100000321	
330	V	29.03.2016 21:33	39	4917100000286	491601111167	
331	V	19.06.2016 00:46	701	4917100000245	4917100000174	
332	D	25.06.2016 22:48	270	4917100000063		8661330
333	S	11.04.2016 17:17		4917100000328	4917100000340	
334	S	23.06.2016 15:38		4917100000245	4917100000271	
335	D	19.05.2016 18:41	51	4917100000137		4529106
336	V	15.06.2016 12:23	36	4917100000275	491601111135	
337	D	24.05.2016 11:42	125	4917100000312		10864875
338	D	04.04.2016 12:21	46	4917100000085		1928228
339	S	04.05.2016 09:36		4917100000328	4917100000195	
340	S	24.05.2016 17:18		4917100000317	4917100000334	
341	S	08.04.2016 01:12		4917100000071	4917100000274	
342	S	13.06.2016 16:59		4917099999997	4917100000366	
343	S	06.06.2016 12:21		4917100000235	4917100000333	
344	V	13.06.2016 19:55	1504	4917100000253	4917100000291	
345	S	25.06.2016 10:40		4917100000377	4917100000204	
346	V	25.05.2016 19:18	408	4917100000300	4917100000217	
347	V	10.05.2016 21:53	477	4917100000150	491601111188	
348	D	21.06.2016 23:54	80	4917100000364		871920
349	S	25.04.2016 21:23		4917100000013	4917100000075	
350	D	04.04.2016 21:12	2956	4917100000255		130870988
351	S	19.05.2016 00:33		4917100000097	4917100000037	
352	S	29.06.2016 19:15		4917100000300	4917100000173	
353	D	20.06.2016 08:14	615	4917100000210		31291815
354	D	04.05.2016 16:25	39	4917100000318		2183805
355	V	25.04.2016 03:35	1603	4917100000105	499311279	
356	S	02.06.2016 11:36		4917100000190	4917100000080	
357	D	19.06.2016 09:37	124	4917100000386		5381352
358	S	05.05.2016 01:56		4917100000063	4917100000068	
359	V	02.02.2016 23:06	1713	4917100000181	4917100000011	
360	V	02.02.2016 19:47	61	4917100000265	4917100000298	
361	V	15.05.2016 01:07	498	4917100000137	4917100000107	
362	D	04.02.2016 04:30	39	4917100000140		602901
363	S	09.06.2016 14:14		4917100000136	4917100000219	
364	D	14.04.2016 18:35	120	4917100000113		7922640
365	S	07.06.2016 10:18		4917100000382	4917100000245	
366	V	03.06.2016 17:35	2197	4917100000047	499311116	
367	V	22.02.2016 18:02	52	4917100000320	491601111140	
368	S	11.05.2016 06:01		4917100000026	4917100000205	
369	D	26.04.2016 07:34	2681	4917100000145		226842091
370	V	10.05.2016 15:12	3132	4917100000383	4917100000357	
371	V	15.05.2016 10:21	75	4917100000016	499311230	
372	D	11.02.2016 17:10	92	4917100000307		1767504
373	V	03.06.2016 06:50	255	4917100000018	491601111158	
374	V	20.05.2016 11:05	2164	4917100000279	4917100000136	
375	D	10.02.2016 02:43	108	4917100000224		4296996
376	V	29.06.2016 10:21	102	4917100000249	4917100000240	
377	D	14.04.2016 04:21	36	4917100000374		2830212
378	S	22.06.2016 21:40		4917100000351	4917100000293	
379	S	28.06.2016 21:58		4917100000072	4917100000019	
380	S	01.03.2016 06:24		4917100000361	4917100000312	
381	S	21.06.2016 10:55		4917100000248	4917100000004	
382	S	17.06.2016 13:59		4917100000375	4917100000034	
383	S	14.05.2016 04:19		4917100000238	4917100000160	
384	V	03.05.2016 10:55	109	4917100000109	499311226	
385	S	05.06.2016 13:09		4917100000385	4917100000288	
386	V	29.04.2016 21:23	74	4917100000021	491601111154	
387	D	20.05.2016 08:56	3561	4917100000137		19877502
388	D	20.05.2016 22:13	2989	4917100000246		32834165
389	V	18.04.2016 15:28	2769	4917099999996	491601111137	
390	D	26.04.2016 00:41	1262	4917100000109		124763844
391	V	26.06.2016 12:11	35	4917099999997	4917100000145	
392	V	28.04.2016 08:09	405	4917100000287	4917100000259	
393	D	17.06.2016 01:41	16	4917100000380		440784
394	D	10.04.2016 00:19	99	4917100000065		2038410
395	V	02.04.2016 21:32	2197	4917100000202	499311283	
396	S	18.04.2016 08:18		4917100000049	4917100000054	
397	S	05.06.2016 00:15		4917100000160	4917100000197	
398	S	21.05.2016 07:58		4917100000001	4917100000315	
399	S	22.05.2016 04:23		4917100000237	4917100000219	
400	D	29.04.2016 09:11	38	4917100000321		41686
401	D	01.03.2016 21:29	47	4917100000157		58186
402	S	22.06.2016 02:51		4917100000312	4917100000307	
403	S	29.04.2016 11:05		4917100000373	4917100000268	
404	D	18.04.2016 11:59	76	4917100000350		3336856
405	S	17.06.2016 19:33		4917100000092	4917100000114	
406	V	23.06.2016 16:31	106	4917100000220	4917100000073	
407	V	29.04.2016 01:26	943	4917100000307	4917100000224	
408	S	12.05.2016 15:28		4917100000315	4917100000163	
409	D	13.02.2016 00:18	811	4917100000304		59344114
410	V	28.03.2016 00:51	2461	4917100000129	499311185	
411	S	17.05.2016 16:06		4917100000363	4917100000245	
412	V	01.04.2016 13:05	115	4917100000082	491601111111	
413	S	26.05.2016 22:22		4917100000388	4917100000053	
414	D	18.06.2016 20:29	537	4917100000325		217485
415	S	03.03.2016 17:27		4917100000157	4917100000333	
416	V	29.04.2016 18:01	1559	4917100000200	491601111200	
417	S	16.06.2016 22:37		4917100000330	4917100000060	
418	S	25.05.2016 19:19		4917100000001	4917100000219	
419	D	21.04.2016 22:20	618	4917100000129		14353668
420	S	02.06.2016 19:23		4917100000069	4917100000278	
421	V	12.04.2016 07:01	14	4917100000326	4917100000005	
422	V	09.06.2016 13:23	507	4917100000291	491601111126	
423	S	08.06.2016 11:14		4917100000163	4917100000014	
424	D	04.03.2016 06:39	89	4917100000166		1582242
425	V	22.05.2016 20:28	88	4917100000161	4917100000150	
426	S	05.06.2016 14:25		4917100000274	4917100000283	
427	D	19.02.2016 15:32	30	4917100000286		2411940
428	V	11.03.2016 12:31	115	4917100000181	4917100000270	
429	V	03.06.2016 16:59	46	4917100000032	4917100000281	
430	V	20.05.2016 13:44	2054	4917100000291	4917100000245	
431	V	06.06.2016 22:00	1702	4917100000103	4917100000305	
432	S	25.06.2016 20:23		4917100000367	4917100000068	
433	D	26.04.2016 01:03	23	4917100000145		454043
434	V	23.06.2016 06:02	267	4917100000125	900467651	
435	V	13.06.2016 12:51	50	4917100000270	4917100000345	
436	V	10.06.2016 17:55	177	4917100000339	499311194	
437	S	03.05.2016 00:31		4917100000016	4917100000048	
438	V	23.05.2016 14:07	240	4917100000141	4917100000120	
439	S	21.05.2016 00:31		4917100000121	4917100000184	
440	V	27.05.2016 23:42	3000	4917100000316	4917100000156	
441	V	09.06.2016 17:31	1537	4917100000032	4917100000100	
442	V	23.03.2016 07:01	378	4917100000168	499311301	
443	S	11.04.2016 01:08		4917100000011	4917100000016	
444	V	04.05.2016 02:49	336	4917100000094	4917100000188	
445	V	02.06.2016 03:53	96	4917100000024	4917100000037	
446	V	25.06.2016 16:22	27	4917100000360	4917100000333	
447	V	19.06.2016 14:35	26	4917100000119	4917100000133	
448	D	03.02.2016 04:19	600	4917100000371		17563200
449	S	01.06.2016 08:09		4917100000362	4917100000143	
450	S	12.06.2016 06:46		4917100000382	4917099999999	
451	V	14.04.2016 10:27	101	4917100000113	4917100000123	
452	V	27.05.2016 18:43	95	4917100000198	4917100000189	
453	V	03.02.2016 20:01	13	4917100000038	4917100000050	
454	D	15.06.2016 02:36	42	4917100000269		3209388
455	V	28.05.2016 06:40	2252	4917100000350	499311143	
456	D	06.06.2016 05:34	83	4917100000053		4098125
457	D	18.06.2016 23:02	609	4917100000325		9784803
458	D	16.04.2016 10:03	258	4917100000197		7648668
459	V	01.03.2016 03:28	45	4917100000128	4917100000053	
460	V	04.04.2016 03:08	3616	4917100000230	491601111121	
461	V	13.06.2016 05:49	258	4917100000292	4917100000058	
462	S	28.06.2016 23:04		4917100000357	4917100000139	
463	V	21.06.2016 00:17	46	4917100000104	499311234	
464	V	09.05.2016 20:29	528	4917100000221	499311289	
465	D	05.06.2016 04:38	94	4917100000336		2625890
466	V	01.03.2016 13:33	3231	4917100000174	499311269	
467	D	10.06.2016 17:32	2560	4917100000254		234536960
468	S	04.04.2016 02:32		4917100000161	4917100000314	
469	V	02.06.2016 10:22	723	4917100000278	499311242	
470	S	14.06.2016 10:21		4917100000385	4917100000196	
471	S	27.04.2016 11:42		4917100000173	4917100000203	
472	S	17.04.2016 12:27		4917100000383	4917100000182	
473	V	03.05.2016 10:04	2659	4917100000291	499311215	
474	D	18.06.2016 01:51	3330	4917100000162		291807900
475	V	07.06.2016 15:46	11	4917100000072	4917100000179	
476	D	19.03.2016 16:54	312	4917100000035		1627392
477	V	18.05.2016 12:04	42	4917100000066	4917100000142	
478	D	24.05.2016 23:37	2241	4917100000094		21775797
479	V	13.06.2016 13:06	255	4917100000270	499311238	
480	S	26.06.2016 09:01		4917100000294	4917100000252	
481	V	05.05.2016 07:31	54	4917100000058	499311307	
482	S	04.04.2016 11:43		4917100000134	4917100000004	
483	D	28.06.2016 11:22	65	4917100000343		4491760
484	S	19.03.2016 03:31		4917100000078	4917100000260	
485	V	19.06.2016 22:09	138	4917100000160	4917100000303	
486	V	01.03.2016 05:34	384	4917100000310	491601111121	
487	S	09.06.2016 07:16		4917100000230	4917100000210	
488	D	04.03.2016 16:51	3649	4917100000243		247818186
489	D	05.05.2016 12:35	2450	4917100000315		184739800
490	D	27.05.2016 17:54	3220	4917100000296		84782600
491	V	01.06.2016 00:36	2043	4917100000250	4917100000195	
492	S	24.05.2016 22:31		4917100000302	4917100000310	
493	V	24.05.2016 01:27	1460	4917100000071	4917100000179	
494	V	19.06.2016 19:33	99	4917100000343	4917100000228	
495	S	25.05.2016 15:28		4917100000346	4917100000332	
496	V	12.06.2016 11:08	60	4917100000332	4917100000096	
497	V	14.04.2016 22:21	2494	4917100000140	499311115	
498	D	29.04.2016 21:51	71	4917099999996		259079
